grid_id,imp_percent,imp_score,flood_score,green_score,greenview_index,storwater_managed,treecountestimate,overall_score
1,43.00793632,4,0,,,0,0,1.333333333
2,54.20534991,3,1,,,0,0,1.333333333
3,54.06893778,3,1,,,0,0,1.333333333
4,79.20314775,2,1,0,17.94623512,156800,196,1
5,94.98525888,0,1,,,0,0,0.333333333
6,93.08160274,0,1,,,0,0,0.333333333
7,82.45613198,0,0,,,0,0,0
8,52.80578858,3,3,2,9.366145833,11200,14,2.666666667
9,,0,5,,,0,0,1.666666667
10,86.89702166,0,0,,,0,0,0
11,,0,4,,,0,0,1.333333333
12,89.48522369,0,3,,,0,0,1
13,94.69985233,0,3,0,8.467565104,89600,112,1
14,99.87399737,0,0,,,0,0,0
15,30.86054399,4,0,,,0,0,1.333333333
16,87.39234064,0,3,5,27.606875,36800,46,2.666666667
17,78.95122817,2,3,,,0,0,1.666666667
18,,0,0,,,0,0,0
19,79.64485372,2,3,3,13.960625,112000,140,2.666666667
20,80.81944254,0,3,0,18.15527462,158400,198,1
21,87.65063636,0,1,2,11.57549479,44800,56,1
22,86.96169393,0,1,5,31.88533854,172800,216,2
23,98.8986995,0,0,,,0,0,0
24,91.15400566,0,3,0,18.76777083,288000,360,1
25,37.73465559,4,0,,,0,0,1.333333333
26,89.9337695,0,1,0,16.85759115,89600,112,0.333333333
27,82.74187196,0,3,,,0,0,1
28,83.71106906,0,0,3,12.49679688,44800,56,1
29,92.6569651,0,3,,,0,0,1
30,68.8286068,2,0,,,0,0,0.666666667
31,93.52407132,0,3,,,0,0,1
32,82.88380802,0,1,,,0,0,0.333333333
33,79.83989197,2,1,,,0,0,1
34,90.52442706,0,0,5,21.96116186,187200,234,1.666666667
35,94.40644645,0,3,,,0,0,1
36,89.19212212,0,3,0,5.998923611,38400,48,1
37,80.71133417,0,0,,,0,0,0
38,93.67190607,0,3,,,0,0,1
39,88.3529701,0,3,5,29.3934375,18400,23,2.666666667
40,83.72624926,0,3,0,16.6019401,89600,112,1
41,96.48538206,0,3,3,12.62189732,156800,196,2
42,21.1889905,5,0,0,6.5165625,6400,8,1.666666667
43,64.18388438,3,1,,,0,0,1.333333333
44,89.40845207,0,3,3,14.41088542,22400,28,2
45,96.34844588,0,1,,,0,0,0.333333333
46,68.20575867,2,1,5,29.16967448,147200,184,2.666666667
47,79.03637147,2,3,3,15.51484954,100800,126,2.666666667
48,99.47187501,0,3,2,9.969708333,112000,140,1.666666667
49,89.10328869,0,1,,,0,0,0.333333333
50,92.19468379,0,3,,,0,0,1
51,,0,5,,,0,0,1.666666667
52,69.58134653,2,3,,,0,0,1.666666667
53,5.286219066,5,0,,,0,0,1.666666667
54,79.69226654,2,1,,,0,0,1
55,78.76959249,2,0,,,0,0,0.666666667
56,49.44736899,4,0,,,0,0,1.333333333
57,90.58663608,0,0,,,0,0,0
58,75.70137673,2,0,0,16.93886642,190400,238,0.666666667
59,95.80007482,0,3,2,11.21894792,112000,140,1.666666667
60,84.58440891,0,3,,,0,0,1
61,88.82947196,0,3,2,9.512604167,44800,56,1.666666667
