FID,Join_Count,TARGET_FID,intptlat,name,funcstat,intptlon,namelsad,geoid,awater,gid,countyfp,mtfcc,tractce,statefp,aland,CensusArea,ImpPer,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,floodscore
0,1,0,+40.7043624, 55,  S,   -074.0834034,    Census Tract 55,     34017005500,      0,       42214,        017,         G5020,          005500,           34,            216661,216625.3057,89.41900376,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
1,6,1,+40.7248851, 66,  S,   -074.0583365,    Census Tract 66,     34017006600,      0,       42066,        017,         G5020,          006600,           34,            344312,344253.3657,85.71262849,406,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
2,10,2,+40.7289059, 72,  S,   -074.0480270,    Census Tract 72,     34017007200,      0,       42093,        017,         G5020,          007200,           34,            296337,296289.6661,67.82678785,424,AE, ,T,12,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
3,3,3,+40.7235905, 23,  S,   -074.0476910,    Census Tract 23,     34017002300,      0,       42207,        017,         G5020,          002300,           34,            144800,144777.6384,91.55261081,398,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
4,4,4,+40.7265797, 24,  S,   -074.0452695,    Census Tract 24,     34017002400,      0,       40796,        017,         G5020,          002400,           34,            159731,159704.5868,79.87352498,428,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
5,1,5,+40.7532475, 2,  S,   -074.0469181,    Census Tract 2,     34017000200,      0,       41346,        017,         G5020,          000200,           34,            264301,264258.5657,94.46576626,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
6,1,6,+40.7461481, 7,  S,   -074.0469442,    Census Tract 7,     34017000700,      0,       40821,        017,         G5020,          000700,           34,            230533,230493.0708,93.31952941,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
7,1,7,+40.6960286, 62,  S,   -074.0948278,    Census Tract 62,     34017006200,      0,       42213,        017,         G5020,          006200,           34,            269036,268992.6363,88.76231008,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
8,1,8,+40.7144211, 44,  S,   -074.0765644,    Census Tract 44,     34017004400,      0,       40893,        017,         G5020,          004400,           34,            161415,161387.2372,90.61985266,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
9,1,9,+40.7219777, 41.01,  S,   -074.0762101,    Census Tract 41.01,     34017004101,      0,       40891,        017,         G5020,          004101,           34,            377047,376984.4658,86.58022509,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
