grid_id,imp_percent,imp_score,flood_score,greenscore,greenview,treeestima,stormwater_managed,overall_score
1,43.00793632,4,0,5,33.04925481,305,231800,3
2,54.20534991,3,1,2,1.551666667,9,6840,2
3,54.06893778,3,1,0,0,0,0,1
4,79.20314775,2,1,4,15.68528562,403,306280,2
5,94.98525888,0,1,4,16.28162698,281,213560,2
6,93.08160274,0,1,2,9.408337862,222,168720,1
7,82.45613198,0,0,0,0,0,0,0
8,52.80578858,3,3,4,13.82583333,146,110960,3
9,,0,5,0,0,0,0,2
10,86.89702166,0,0,0,0,0,0,0
11,,0,4,0,0,0,0,1
12,89.48522369,0,3,2,9.310145089,252,191520,2
13,94.69985233,0,3,2,7.973388158,288,218880,2
14,99.87399737,0,0,0,0,0,0,0
15,30.86054399,4,0,2,4.401164216,84,63840,2
16,87.39234064,0,3,4,13.77882543,362,275120,2
17,78.95122817,2,3,5,21.29761054,810,615600,3
18,,0,0,0,0,0,0,0
19,79.64485372,2,3,4,16.606625,1117,848920,3
20,80.81944254,0,3,4,15.43275463,228,173280,2
21,87.65063636,0,1,3,12.52330309,350,266000,1
22,86.96169393,0,1,5,32.03648438,267,202920,2
23,98.8986995,0,0,0,0,0,0,0
24,91.15400566,0,3,4,16.3329349,531,403560,2
25,37.73465559,4,0,5,46.48699577,2051,1558760,3
26,89.9337695,0,1,4,17.44099206,300,228000,2
27,82.74187196,0,3,4,16.85901042,442,335920,2
28,83.71106906,0,0,5,27.09334201,240,182400,2
29,92.6569651,0,3,5,21.66527778,397,301720,3
30,68.8286068,2,0,0,0,0,0,1
31,93.52407132,0,3,2,6.289551841,239,181640,2
32,82.88380802,0,1,2,6.590674079,659,500840,1
33,79.83989197,2,1,5,38.54213983,1468,1115680,3
34,90.52442706,0,0,5,21.76385417,227,172520,2
35,94.40644645,0,3,3,11.77114149,501,380760,2
36,89.19212212,0,3,3,11.58377083,417,316920,2
37,80.71133417,0,0,4,14.6102039,586,445360,1
38,93.67190607,0,3,2,9.5371875,501,380760,2
39,88.3529701,0,3,4,14.2957148,348,264480,2
40,83.72624926,0,3,4,16.42301404,594,451440,2
41,96.48538206,0,3,4,13.39933424,546,414960,2
42,21.1889905,5,0,2,9.367157738,243,184680,2
43,64.18388438,3,1,2,9.713589015,234,177840,2
44,89.40845207,0,3,3,11.36942255,501,380760,2
45,96.34844588,0,1,4,16.44392992,138,104880,2
46,68.20575867,2,1,5,25.75072917,89,67640,3
47,79.03637147,2,3,4,14.61069892,386,293360,3
48,99.47187501,0,3,2,7.196009339,222,168720,2
49,89.10328869,0,1,2,3.51125,177,134520,1
50,92.19468379,0,3,3,9.827087418,459,348840,2
51,,0,5,0,0,0,0,2
52,69.58134653,2,3,5,26.0714625,484,367840,3
53,5.286219066,5,0,0,0,0,0,2
54,79.69226654,2,1,3,12.01973524,276,209760,2
55,78.76959249,2,0,0,0,0,0,1
56,49.44736899,4,0,0,0,0,0,1
57,90.58663608,0,0,5,19.41099583,385,292600,2
