tract_id,census_name,imp_percent,imp_score,flood_score,greenscore,greenview_index,storwater_managed,treecountestimate,overallscore
0,    Census Tract 55,89.41900376,1,3,0,9.421595365,1292760,1701,1
1,    Census Tract 66,85.71262849,1,3,5,20.96817406,1864280,2453,3
2,    Census Tract 72,67.82678785,2,0,5,17.56822178,2942720,3872,2
3,    Census Tract 23,91.55261081,0,3,4,15.24831013,2215400,2915,2
4,    Census Tract 24,79.87352498,1,3,5,24.1709324,2479880,3263,3
5,    Census Tract 2,94.46576626,0,3,0,8.156404363,1662120,2187,1
6,    Census Tract 7,93.31952941,0,3,0,9.698523592,1507080,1983,1
7,    Census Tract 62,88.76231008,1,3,4,15.38810124,3283960,4321,3
8,    Census Tract 44,90.61985266,1,3,3,13.39103933,776720,1022,2
9,    Census Tract 41.01,86.58022509,1,3,5,22.95235102,3277120,4312,3
10,    Census Tract 8,77.2696177,2,0,5,26.34192402,5504680,7243,2
11,    Census Tract 59,90.99630498,1,0,3,13.33895936,6157520,8102,1
12,    Census Tract 43,92.21772757,0,1,3,15.23174956,1819440,2394,1
13,    Census Tract 6,89.40953565,1,3,3,14.88750409,2645560,3481,2
14,    Census Tract 5,91.47137799,0,3,0,9.320693669,1181040,1554,1
15,    Census Tract 10,92.97499879,0,3,2,12.75145985,1176480,1548,2
16,    Census Tract 78,88.01964031,1,1,0,10.4457346,4955200,6520,1
17,    Census Tract 1,89.10356136,1,1,4,16.00493235,5199920,6842,2
18,    Census Tract 52,86.73598242,1,3,3,13.68967644,3223920,4242,2
19,    Census Tract 47,72.15782336,2,1,4,15.96354167,6558040,8629,2
20,    Census Tract 40,40.42322604,4,1,5,19.11880171,10863440,14294,3
21,    Census Tract 35,91.28285913,0,0,5,20.97711097,1189400,1565,2
22,    Census Tract 48,66.99355619,2,1,0,9.978878833,4295520,5652,1
23,    Census Tract 49,90.07503221,1,3,3,14.42659624,2916120,3837,2
24,    Census Tract 19,91.06044414,0,3,0,8.893964091,1212200,1595,1
25,    Census Tract 61,82.521028,1,0,4,15.77154131,7987600,10510,2
26,    Census Tract 42,90.30084366,1,3,0,9.91117922,1683400,2215,1
27,    Census Tract 41.02,90.1208626,1,3,2,13.19462584,1510880,1988,2
28,    Census Tract 73,53.00235018,3,0,4,15.60592008,2998200,3945,2
29,    Census Tract 64,89.05110947,1,1,5,22.28028192,2795280,3678,2
30,    Census Tract 14,90.85441602,1,3,3,13.98786726,2133320,2807,2
31,    Census Tract 56,92.85348323,0,1,0,9.713080929,1269960,1671,0
32,    Census Tract 3,83.33101458,1,0,3,14.94047168,2628840,3459,1
33,    Census Tract 12.02,74.5729565,2,0,3,13.66174651,2264800,2980,2
34,    Census Tract 60,85.92911092,1,3,3,13.58278164,2154600,2835,2
35,    Census Tract 67,83.88895597,1,3,5,17.98466727,7420640,9764,3
36,    Census Tract 20,95.13273536,0,3,0,8.557662462,1317840,1734,1
37,    Census Tract 46,85.57916444,1,0,2,13.21211821,1920520,2527,1
38,    Census Tract 27,62.55825745,3,1,4,16.25981702,6249480,8223,3
39,    Census Tract 29,89.23017004,1,3,2,12.68296989,1462240,1924,2
40,    Census Tract 53,80.77868014,1,1,3,14.19462012,2184240,2874,2
41,    Census Tract 22,90.32936271,1,1,3,14.80500184,2134080,2808,2
42,    Census Tract 12.01,94.2332607,0,3,0,10.41890866,1076160,1416,1
43,    Census Tract 4,87.676266,1,1,3,14.14235867,3133480,4123,2
44,    Census Tract 71,77.84749676,2,0,4,15.75845886,2315720,3047,2
45,    Census Tract 75,91.09257746,0,3,5,21.3351005,2457080,3233,3
46,    Census Tract 11,73.32475228,2,3,5,17.23159047,5655160,7441,3
47,    Census Tract 70,87.25403027,1,3,4,15.26087509,2283800,3005,3
48,    Census Tract 68,86.19153041,1,3,2,12.43131682,2687360,3536,2
49,    Census Tract 30,91.12929128,0,3,0,8.763820164,1173440,1544,1
50,    Census Tract 69,62.79670348,3,1,2,11.58494865,8746080,11508,2
51,    Census Tract 28,89.34020265,1,3,4,16.63765942,2336240,3074,3
52,    Census Tract 54,39.17642077,4,0,2,10.8148679,6968440,9169,2
53,    Census Tract 31,86.79237798,1,1,2,13.20930422,1331520,1752,1
54,    Census Tract 18,93.11136852,0,3,2,11.44308802,1567120,2062,2
55,    Census Tract 63,71.07456442,2,1,4,15.26330475,5106440,6719,2
56,    Census Tract 65,88.61526096,1,0,2,11.28043384,3520320,4632,1
57,    Census Tract 58.01,76.86794625,2,1,4,15.66127841,2849240,3749,2
58,    Census Tract 45,81.9185622,1,1,5,17.43724496,3930720,5172,2
59,    Census Tract 9.02,81.72533837,1,0,2,11.65296724,3968720,5222,1
60,    Census Tract 17.01,82.43127859,1,1,2,11.51832839,3131960,4121,1
61,    Census Tract 13,73.10627847,2,1,5,22.39798673,2860640,3764,3
,,,,,,,,259758,
