park,center_lng,center_lat
FERRIS TRIANGLE PARK,-74.09219225209114,40.698514035533854
HAMILTON PARK,-74.04509196977058,40.72765534047292
FITZGERALD-HOLOTA PARK,-74.04239975873746,40.71969812968494
SIXTEENTH STREET PLAYGROUND,-74.04220531838112,40.73290433716484
BRAMHALL AVENUE MINI PARK,-74.07458689758298,40.71542914789359
METRO FIELD,-74.0948339602586,40.710365292613076
LIBERTY STATE PARK,-74.05060313422926,40.70060783015404
PAVONIA/MARION PLAYGROUND POOL,-74.07056519421633,40.734874181132724
SKINNER MEMORIAL PARK,-74.07614253807098,40.7043285231283
ARLINGTON PARK,-74.07084361552353,40.714298796423705
MONTICELLO AVENUE MINI PARK,-74.07334540769679,40.715769453312475
BOYD-McGUINESS PARK,-74.07381758518306,40.72517271330618
McGINLEY SQUARE,-74.06772202147744,40.7252888080813
CUENO PLACE PARK,-74.04726998494274,40.738040180865596
RIVERVIEW PARK,-74.04279013838399,40.74405130489402
,-74.0295823636894,40.71918667929367
ROBERTO CLEMENTE LL,-74.04148902639695,40.72556263890871
Berry Lane,-74.06814992032415,40.71228987816241
Newport Green?,-74.03249318097212,40.73173306884397
PAVONIA/MARION PLAYGROUND POOL,-74.07110131143367,40.73391877441322
FAIRMOUNT TRIANGLE,-74.06709511994293,40.720311432487115
,-74.03194889071588,40.72030133435808
LINCOLN PARK,-74.09107190343393,40.7295053096655
CORNELIUS PARKER PARK,-74.07230466646487,40.7150469891575
MUHAMMAD ALI PARK,-74.08561775836586,40.70114882581413
VIRGINIA AVENUE PARK,-74.07843418059805,40.71311152331948
PAT DeANGELO PLAYGROUND,-74.0494588336739,40.72643757017177
,-74.03023957064102,40.71690237425877
LINCOLN PARK,-74.08375637526474,40.72610533340832
LT. R.B. GROVER MEMORIAL PARK,-74.08514605034091,40.71108517875251
BAYSIDE PARK,-74.08094798160836,40.698155852534384
LEONARD GORDON PARK,-74.05815871060186,40.74634721181242
VAN VORST PARK,-74.04715793018022,40.71805851003991
VETERNS PARK,-74.03331204006355,40.711936473067794
RALPH TAYLOR MEMORIAL PARK,-74.09035620139699,40.697106148206544
,-74.04559542278662,40.68981292413562
LAFAYETTE PARK,-74.062168614293,40.714506844495986
PERSHING FIELD,-74.05351006053712,40.7422113345709
PAULUS HOOK PARK,-74.03735168098068,40.715510611852324
GATEWAY PARK COMPLEX,-74.05698669522597,40.718767958961465
STEVENS PARK,-74.08875074566902,40.702272177429535
EXCHANGE PLACE,-74.0310634091309,40.71618044793013
LIBERTY STATE PARK,-74.06442271714727,40.699594068306645
LIBERTY STATE PARK,-74.03502374903195,40.71155754131168
CITY HALL PARK,-74.04365344142852,40.7177963005524
,-74.03571172375523,40.712429538951845
,-74.04227354781248,40.7150318550813
CLAREMONT AVENUE PLAYGROUND,-74.07570025398647,40.70719853877516
AUDUBON PARK,-74.08714122909333,40.70719204820659
OAK STREET PARK,-74.07427296467382,40.71214582007853
TOWN SQUARE,-74.03253042295631,40.726555515383296
THOMAS McGOVERN PARK,-74.10255165896265,40.69627772703942
ENOS JONES PARK / ROBERTO CLEMENTE,-74.05133274047373,40.728205779811006
TUMULTY PARK,-74.04683208013526,40.737863156383
HACKENSACK RIVER GREENWAY,-74.09647302236633,40.72340921911825
MUHAMMAD ALI PARK,-74.08502447413797,40.700940982897734
TERRY DEHERE / GARFILED AVENUE PARK,-74.068295269278,40.71348060622017
APPLE TREE HOUSE,-74.0663216026056,40.73010333558756
TERRANCE AVENUE PARK,-74.05665549903196,40.752892607804085
EGE AVENUE PLAYGROUND,-74.08626710092258,40.715714447393125
COLUMBIA PARK GREENVILLE MEMORIAL,-74.09627599095631,40.69569072475424
MARY BENSON PARK,-74.05266881024937,40.72519661831538
PAULUS HOOK PARK,-74.03797098209782,40.71558032933284
WAYNE STREET PLAYGROUND,-74.04606163938826,40.71989817773545
WILKINSON AVENUE PARK,-74.08106444525916,40.707004228280766
MARTINIAK-ENRIGHT PARK,-74.09787940732764,40.690773815311715
WOODLAND AVENUE PARK,-74.09577506471393,40.699895870917445
FAIRMOUNT TRIANGLE,-74.06700754210561,40.72012321792588
AUTHUR ASHE BASKETBALL,-74.07261934430133,40.71162767831252
FULTON PARK,-74.0871370784669,40.70449848605918
HARMON STREET POOL,-74.07003928054249,40.71605694683933
LaPOINTE PARK,-74.07114116200133,40.729611994580466
LINCOLN PARK,-74.0772815844276,40.7230253807937
TERRACE AVENUE /  EDWARD CRINCOLI,-74.05653659660004,40.75247542209304
WASHINTON PARK,-74.04312665175445,40.75305857595087
,-74.04070161449164,40.698667636641694
DR. LENA EDWARDS PARK,-74.05841495202807,40.712904050067735
LAUREL COURT,-74.04226348716124,40.72220727701534
FIRST STREET PLAYGROUND,-74.05163801872308,40.7228215364579
MELUSO PARK,-74.05013335408896,40.716881806272845
SGT. ANTHONY PARK,-74.05145901239776,40.73223067352641
POPE TRIANGLE,-74.06560564986385,40.72202279945033
BRETT TRIANGLE,-74.06740785619868,40.733745574088246
AUTHUR ASHE BASKETBALL,-74.07284477959915,40.711386839933866
FISK PARK,-74.04339501299955,40.74451916961817
PAULUS HOOK PARK,-74.03742359831392,40.71501825751733
